metro,city,year_month,house_count,power_use,bill
대구광역시,동구,2021-02,178734,247.48,26809
대구광역시,남구,2021-02,90723,208.44,22869
대구광역시,북구,2021-02,215525,254.69,26910
대구광역시,달성군,2021-02,118806,258.82,27177
대구광역시,중구,2021-02,49253,216.46,23726
대구광역시,달서구,2021-02,271871,259.4,27315
대구광역시,서구,2021-02,94899,222.07,24643
대구광역시,수성구,2021-02,195005,280.21,32399
인천광역시,중구,2021-02,79833,247.26,28515
인천광역시,계양구,2021-02,135723,254.89,27629
인천광역시,동구,2021-02,31628,244.4,26159
인천광역시,서구,2021-02,251981,269.44,31238
인천광역시,강화군,2021-02,40428,213.02,28850
인천광역시,미추홀구,2021-02,222338,231.02,25948
인천광역시,부평구,2021-02,235033,258.16,27995
인천광역시,남동구,2021-02,248426,268.32,29992
인천광역시,연수구,2021-02,172818,283.27,32686
인천광역시,옹진군,2021-02,13931,177.44,23064
광주광역시,북구,2021-02,230300,241.14,25506
광주광역시,광산구,2021-02,200330,262.58,28406
광주광역시,서구,2021-02,155408,255.79,27807
광주광역시,남구,2021-02,109043,260.03,29239
광주광역시,동구,2021-02,65512,218.61,24397
대전광역시,서구,2021-02,251842,240.01,25171
대전광역시,중구,2021-02,122544,244.85,26624
대전광역시,유성구,2021-02,179233,253.9,27725
대전광역시,동구,2021-02,136229,218.07,23148
대전광역시,대덕구,2021-02,95747,234.49,25375
울산광역시,울주군,2021-02,122920,236.07,26490
울산광역시,중구,2021-02,109805,256.09,29635
울산광역시,남구,2021-02,168743,247.69,27810
울산광역시,동구,2021-02,79379,242.87,26718
울산광역시,북구,2021-02,98165,286.42,31429
경기도,의정부시,2021-02,214906,277.46,30625
경기도,하남시,2021-02,137361,267.75,30415
경기도,여주시,2021-02,62944,234.92,28709
경기도,포천시,2021-02,81700,231.85,28566
경기도,가평군,2021-02,38065,222.0,29388
경기도,양평군,2021-02,67956,249.74,34768
경기도,안양시 만안구,2021-02,108344,266.96,30182
경기도,고양시 덕양구,2021-02,178145,265.83,29277
경기도,파주시,2021-02,217754,272.7,31969
경기도,광주시,2021-02,180338,284.19,35492
경기도,이천시,2021-02,116821,247.04,29318
경기도,안산시 단원구,2021-02,171792,232.22,24358
경기도,고양시 일산동구,2021-02,133200,284.84,33429
경기도,과천시,2021-02,27874,242.82,29679
경기도,구리시,2021-02,85027,279.27,30667
경기도,오산시,2021-02,122847,248.96,26413
경기도,남양주시,2021-02,304671,304.62,36448
경기도,수원시 팔달구,2021-02,103408,222.18,24310
경기도,안산시 상록구,2021-02,184968,229.73,25465
경기도,안성시,2021-02,114548,230.8,25706
경기도,부천시 남구,2021-02,1,128.0,11806
경기도,성남시 분당구,2021-02,196334,294.37,34680
경기도,고양시 일산서구,2021-02,117644,310.03,35672
경기도,부천시,2021-02,381641,258.22,29051
경기도,연천군,2021-02,26267,203.91,25234
경기도,용인시 처인구,2021-02,128783,261.12,30993
경기도,수원시 영통구,2021-02,164325,271.4,30267
경기도,광명시,2021-02,112904,268.86,29196
경기도,평택시,2021-02,326519,240.61,27076
경기도,시흥시,2021-02,264127,254.95,27716
경기도,양주시,2021-02,100231,267.5,30278
경기도,수원시 장안구,2021-02,126842,247.73,27423
경기도,용인시 수지구,2021-02,139150,348.53,43489
경기도,의왕시,2021-02,65972,305.08,35801
경기도,화성시,2021-02,416929,276.46,31923
경기도,김포시,2021-02,209234,315.31,38965
경기도,안양시 동안구,2021-02,126013,287.1,31768
경기도,용인시 기흥구,2021-02,176683,314.07,37756
경기도,동두천시,2021-02,49957,243.92,26533
경기도,군포시,2021-02,119076,276.81,30876
경기도,성남시 수정구,2021-02,126488,228.79,25509
경기도,성남시 중원구,2021-02,103245,245.53,27631
경기도,수원시 권선구,2021-02,176030,268.69,29748
강원도,평창군,2021-02,31588,201.4,25310
강원도,인제군,2021-02,20883,198.5,25756
