ISO_CODE,metro,city,year_month,house_count,power_use,bill,total_usage
KR-28,인천광역시,미추홀구,2021-03,222338,196.89,19534,43776128.82
KR-28,인천광역시,계양구,2021-03,135746,221.26,21590,30035159.96
KR-28,인천광역시,부평구,2021-03,234868,221.76,21519,52084327.68
KR-28,인천광역시,연수구,2021-03,172815,252.26,27041,43594311.9
KR-28,인천광역시,남동구,2021-03,248431,230.26,22776,57203722.06
KR-28,인천광역시,동구,2021-03,31607,214.83,20886,6790131.81
KR-28,인천광역시,서구,2021-03,252072,235.37,24806,59330186.64
KR-28,인천광역시,강화군,2021-03,40480,174.01,21537,7043924.8
KR-28,인천광역시,중구,2021-03,81328,202.58,20439,16475426.24
KR-28,인천광역시,옹진군,2021-03,13943,148.78,17318,2074439.54
KR-29,광주광역시,서구,2021-03,155454,220.9,21611,34339788.6
KR-29,광주광역시,북구,2021-03,229700,211.95,20449,48684915.0
KR-29,광주광역시,동구,2021-03,65531,195.9,20038,12837522.9
KR-29,광주광역시,남구,2021-03,109071,223.06,22455,24329377.26
KR-29,광주광역시,광산구,2021-03,200410,224.93,21797,45078221.3
KR-30,대전광역시,서구,2021-03,251827,204.1,19143,51397890.7
KR-30,대전광역시,동구,2021-03,136342,185.31,17324,25265536.02
KR-30,대전광역시,중구,2021-03,122513,206.96,19795,25355290.48
KR-30,대전광역시,유성구,2021-03,179351,216.06,20786,38750577.06
KR-30,대전광역시,대덕구,2021-03,95722,198.95,19215,19043891.9
KR-31,울산광역시,울주군,2021-03,122947,202.9,20337,24945946.3
KR-31,울산광역시,북구,2021-03,98167,246.04,24089,24153008.68
KR-31,울산광역시,동구,2021-03,79365,209.34,20473,16614269.1
KR-31,울산광역시,남구,2021-03,168590,212.4,21317,35808516.0
KR-31,울산광역시,중구,2021-03,109777,218.56,22442,23992861.12
KR-41,경기도,부천시,2021-03,381813,225.97,23071,86278283.61
KR-41,경기도,안산시 상록구,2021-03,184961,197.58,19576,36544594.38
KR-41,경기도,과천시,2021-03,28559,210.02,23330,5997961.18
KR-41,경기도,시흥시,2021-03,264544,218.82,21438,57887518.08
KR-41,경기도,하남시,2021-03,137888,231.22,23400,31882463.36
KR-41,경기도,광주시,2021-03,180459,239.01,26212,43131505.59
KR-41,경기도,오산시,2021-03,122969,217.8,20860,26782648.2
KR-41,경기도,의왕시,2021-03,65944,259.38,27057,17104554.72
KR-41,경기도,남양주시,2021-03,307544,258.57,27216,79521652.08
KR-41,경기도,화성시,2021-03,417402,236.58,24221,98748965.16
KR-41,경기도,성남시 중원구,2021-03,103251,208.82,20728,21560873.82
KR-41,경기도,군포시,2021-03,119029,236.68,23215,28171783.72
KR-41,경기도,파주시,2021-03,218578,239.25,25408,52294786.5
KR-41,경기도,안산시 단원구,2021-03,171759,205.18,19816,35241511.62
KR-41,경기도,고양시 일산동구,2021-03,133202,259.08,28456,34509974.16
KR-41,경기도,연천군,2021-03,26304,168.21,18847,4424595.84
KR-41,경기도,안성시,2021-03,114669,193.31,18992,22166664.39
KR-41,경기도,성남시 수정구,2021-03,126037,198.58,20030,25028427.46
KR-41,경기도,의정부시,2021-03,215159,232.32,22485,49985738.88
KR-41,경기도,평택시,2021-03,328312,203.39,20217,66775377.68
KR-41,경기도,구리시,2021-03,85024,245.93,24608,20909952.32
KR-41,경기도,양주시,2021-03,100377,228.98,23280,22984325.46
KR-41,경기도,포천시,2021-03,81824,191.52,20600,15670932.48
KR-41,경기도,이천시,2021-03,116932,204.83,21209,23951181.56
KR-41,경기도,수원시 권선구,2021-03,176068,230.64,22916,40608323.52
KR-41,경기도,고양시 일산서구,2021-03,117657,278.0,29581,32708646.0
KR-41,경기도,광명시,2021-03,112271,237.83,23591,26701411.93
KR-41,경기도,여주시,2021-03,63063,193.95,21057,12231068.85
KR-41,경기도,성남시 분당구,2021-03,196361,261.48,27997,51344474.28
KR-41,경기도,안양시 만안구,2021-03,109681,224.05,22406,24574028.05
KR-41,경기도,고양시 덕양구,2021-03,179627,235.17,23875,42242881.59
KR-41,경기도,동두천시,2021-03,50017,212.65,20719,10636115.05
KR-41,경기도,가평군,2021-03,38147,182.37,21199,6956868.39
KR-41,경기도,용인시 처인구,2021-03,130918,215.85,23091,28258650.3
KR-41,경기도,김포시,2021-03,209150,264.65,28408,55351547.5
KR-41,경기도,수원시 장안구,2021-03,126924,219.32,22432,27836971.68
KR-41,경기도,수원시 영통구,2021-03,164362,240.2,24548,39479752.4
KR-41,경기도,용인시 기흥구,2021-03,176730,267.07,28263,47199281.1
KR-41,경기도,양평군,2021-03,68105,200.86,24529,13679570.3
KR-41,경기도,부천시 남구,2021-03,1,126.0,11624,126.0
KR-41,경기도,수원시 팔달구,2021-03,107679,186.51,18109,20083210.29
KR-41,경기도,안양시 동안구,2021-03,126002,253.4,25482,31928906.8
KR-41,경기도,용인시 수지구,2021-03,139189,299.84,33415,41734429.76
KR-42,강원특별자치도,횡성군,2021-03,30539,171.19,19206,5227971.41
KR-42,강원특별자치도,영월군,2021-03,24611,172.98,19296,4257210.78
KR-42,강원특별자치도,삼척시,2021-03,43144,174.11,18566,7511801.84
KR-42,강원특별자치도,양양군,2021-03,20247,179.93,19686,3643042.71
KR-42,강원특별자치도,원주시,2021-03,202850,213.28,21846,43263848.0
KR-42,강원특별자치도,강릉시,2021-03,127563,200.17,21344,25534285.71
KR-42,강원특별자치도,평창군,2021-03,31831,165.8,18518,5277579.8
KR-42,강원특별자치도,철원군,2021-03,24022,189.52,22515,4552649.44
KR-42,강원특별자치도,고성군,2021-03,18204,171.68,20528,3125262.72
KR-42,강원특별자치도,태백시,2021-03,24338,196.74,20326,4788258.12
KR-42,강원특별자치도,춘천시,2021-03,157600,208.61,21500,32876936.0
KR-42,강원특별자치도,홍천군,2021-03,43218,175.36,19715,7578708.48
KR-42,강원특별자치도,정선군,2021-03,23390,177.57,19704,4153362.3
KR-42,강원특별자치도,화천군,2021-03,14262,173.66,19554,2476738.92
KR-42,강원특별자치도,동해시,2021-03,53252,198.85,19958,10589160.2
KR-42,강원특별자치도,양구군,2021-03,12927,178.98,20258,2313674.46
KR-42,강원특별자치도,속초시,2021-03,47719,220.95,22459,10543513.05
KR-42,강원특별자치도,인제군,2021-03,20918,163.7,19154,3424276.6
KR-43,충청북도,충주시,2021-03,133768,183.95,19174,24606623.6
KR-43,충청북도,옥천군,2021-03,29846,178.45,19842,5326018.7
KR-43,충청북도,진천군,2021-03,53860,191.28,19813,10302340.8
